"りょく";力;"Power";kanji;"りょく:on, りき:on, ちから:kun"
"こう";口;"Mouth";kanji;"こう:on, く:on, くち:kun"
"こう";工;"Construction";kanji;"こう:on, く:on"
"ゆう";夕;"Evening";kanji;"ゆう:kun, せき:on"
"て";手;"Hand";kanji;"て:kun, しゅ:on, ず:on"
"ぶん";文;"Writing";kanji;"ぶん:on, もん:on"
"いぬ";犬;"Dog";kanji;"いぬ:kun, けん:on"
"せい";正;"Correct";kanji;"せい:on, しょう:on, ただ:kun, まさ:kun"
"た";田;"Rice Paddy";kanji;"た:kun, でん:on"
"め";目;"Eye";kanji;"め:kun, もく:on"
"りつ";立;"Stand";kanji;"りつ:on, りゅう:on, た:kun"
"しょう";少;"Few";kanji;"しょう:on, すこ:kun, すく:kun"
"ぎゅう";牛;"Cow";kanji;"ぎゅう:on, うし:kun"
"せつ";切;"Cut";kanji;"せつ:on, き:kun"
"し";止;"Stop";kanji;"し:on, と:kun, や:kun"
"こ";古;"Old";kanji;"こ:on, ふる:kun"
"げん";元;"Origin";kanji;"げん:on, がん:on, もと:kun"
"こう";公;"Public";kanji;"こう:on"
"しん";心;"Heart";kanji;"しん:on, こころ:kun"
"ほう";方;"Direction";kanji;"ほう:on, かた:kun"
"ふゆ";冬;"Winter";kanji;"ふゆ:kun, とう:on"
"だい";台;"Machine";kanji;"だい:on, たい:on"
"ひろ";広;"Wide";kanji;"ひろ:kun, こう:on"
"よう";用;"Task";kanji;"よう:on, もち:kun"
"しゅ";主;"Master";kanji;"しゅ:on, おも:kun, ぬし:kun"
"だい";代;"Substitute";kanji;"だい:on, か:kun, かわ:kun, しろ:kun"
"しゃ";写;"Copy";kanji;"しゃ:on, うつ:kun"
"ちょう";町;"Town";kanji;"ちょう:on, まち:kun"
"そく";足;"Foot";kanji;"そく:on, あし:kun, た:kun"
"し";仕;"Doing";kanji;"し:on, つか:kun"
"せ";世;"World";kanji;"せ:on, せい:on, よ:kun"
"きょ";去;"Past";kanji;"きょ:on, こ:on, さ:kun"
"じ";字;"Letter";kanji;"じ:on"
"そう";早;"Early";kanji;"そう:on, はや:kun, さ:kun"
"はな";花;"Flower";kanji;"はな:kun, か:on, け:on"
"あか";赤;"Red";kanji;"あか:kun, せき:on"
"ふ";不;"Not";kanji;"ふ:on, ぶ:on"
"こう";考;"Think";kanji;"こう:on, かんが:kun"
"げん";言;"Say";kanji;"げん:on, ごん:on, い:kun, こと:kun"
"くう";空;"Sky";kanji;"くう:on, そら:kun, あ:kun, から:kun, す:kun"
"かい";会;"Meet";kanji;"かい:on, あ:kun"
"どう";同;"Same";kanji;"どう:on, おな:kun"
"た";多;"Many";kanji;"た:on, おお:kun"
"じ";自;"Self";kanji;"じ:on, し:on"
"たい";体;"Body";kanji;"たい:on, からだ:kun"
"さく";作;"Make";kanji;"さく:on, さ:on, つく:kun"
"しゃ";社;"Company";kanji;"しゃ:on, やしろ:kun"
"そう";走;"Run";kanji;"そう:on, はし:kun"
"せい";青;"Blue";kanji;"せい:on, しょう:on, あお:kun"
"おん";音;"Sound";kanji;"おん:on, おと:kun, ね:kun"
"きょう";兄;"Older Brother";kanji;"きょう:on, あに:kun, にい:kun"
"にく";肉;"Meat";kanji;"にく:on"
"いろ";色;"Color";kanji;"いろ:kun, しき:on, しょく:on"
"ず";図;"Diagram";kanji;"ず:on, と:on, え:kun, はか:kun"
"だい";弟;"Younger Brother";kanji;"だい:on, で:on, てい:on, おとうと:kun"
"きん";近;"Near";kanji;"きん:on, こん:on, ちか:kun"
"が";画;"Drawing";kanji;"が:on, かく:on"
"ち";知;"Know";kanji;"ち:on, し:kun"
"ち";地;"Earth";kanji;"ち:on, じ:on"
"あん";安;"Relax";kanji;"あん:on, やす:kun"
"ゆう";有;"Have";kanji;"ゆう:on, う:on, あ:kun"
"し";死;"Death";kanji;"し:on, し:kun"
"きょう";京;"Capital";kanji;"きょう:on, みやこ:kun"
"や";夜;"Night";kanji;"や:on, よ:kun, よる:kun"
"まい";妹;"Younger Sister";kanji;"まい:on, いもうと:kun"
"し";姉;"Older Sister";kanji;"し:on, お:kun, あね:kun, ねえ:kun"
"てん";店;"Shop";kanji;"てん:on, みせ:kun"
"めい";明;"Bright";kanji;"めい:on, あ:kun, あか:kun, あき:kun"
"ほ";歩;"Walk";kanji;"ほ:on, ある:kun, あゆ:kun"
"しつ";室;"Room";kanji;"しつ:on"
"し";思;"Think";kanji;"し:on, おも:kun"
"かい";海;"Sea";kanji;"かい:on, うみ:kun"
"ちゃ";茶;"Tea";kanji;"ちゃ:on, さ:on"
"し";私;"I";kanji;"し:on, わたし:kun"
"つう";通;"Pass Through";kanji;"つう:on, とお:kun, かよ:kun"
"い";以;"From";kanji;"い:on"
"なつ";夏;"Summer";kanji;"なつ:kun, げ:on, か:on, が:on"
"か";家;"House";kanji;"か:on, け:on, いえ:kun, や:kun, うち:kun"
"かみ";紙;"Paper";kanji;"かみ:kun, し:on"
"きょう";強;"Strong";kanji;"きょう:on, つよ:kun"
"きょう";教;"Teach";kanji;"きょう:on, おし:kun, おそ:kun"
"り";理;"Reason";kanji;"り:on, ことわり:kun"
"しゅう";週;"Week";kanji;"しゅう:on"
"ぎょ";魚;"Fish";kanji;"ぎょ:on, さかな:kun"
"ちょう";鳥;"Bird";kanji;"ちょう:on, とり:kun"
"こく";黒;"Black";kanji;"こく:on, くろ:kun"
"ふう";風;"Wind";kanji;"ふう:on, ふ:on, かぜ:kun"
"どう";道;"Road";kanji;"どう:on, みち:kun"
"しゃ";者;"Someone";kanji;"しゃ:on, もの:kun"
"じゅう";住;"Dwelling";kanji;"じゅう:on, す:kun"
"い";医;"Medicine";kanji;"い:on"
"きゅう";究;"Research";kanji;"きゅう:on, きわ:kun"
"けん";研;"Sharpen";kanji;"けん:on, と:kun"
"じょう";場;"Location";kanji;"じょう:on, ば:kun"
"あさ";朝;"Morning";kanji;"あさ:kun, ちょう:on"
"こた";答;"Answer";kanji;"こた:kun, とう:on"
"か";買;"Buy";kanji;"か:kun, ばい:on"
"らく";楽;"Comfort";kanji;"らく:on, がく:on, たの:kun"
"し";使;"Use";kanji;"し:on, つか:kun"
"ど";度;"Degrees";kanji;"ど:on, たく:on, たび:kun"
"けん";験;"Test";kanji;"けん:on, ため:kun, ためし:kun"
"ぶつ";物;"Thing";kanji;"ぶつ:on, もつ:on, もの:kun"
"じ";持;"Hold";kanji;"じ:on, も:kun"
"し";試;"Try";kanji;"し:on, こころ:kun, ため:kun"
"ばい";売;"Sell";kanji;"ばい:on, う:kun"
"じ";事;"Action";kanji;"じ:on, こと:kun, つか:kun"
"ふく";服;"Clothes";kanji;"ふく:on"
"や";屋;"Roof";kanji;"や:kun, おく:on"
"かい";界;"World";kanji;"かい:on"
"はつ";発;"Departure";kanji;"はつ:on"
"そう";送;"Send";kanji;"そう:on, おく:kun"
"じゅう";重;"Heavy";kanji;"じゅう:on, ちょう:on, おも:kun, かさ:kun, え:kun"
"しん";新;"New";kanji;"しん:on, あたら:kun, あら:kun, にい:kun"
"しゅう";終;"End";kanji;"しゅう:on, おわ:kun, お:kun"
"てん";転;"Revolve";kanji;"てん:on, ころ:kun"
"うん";運;"Carry";kanji;"うん:on, はこ:kun"
"しん";親;"Parent";kanji;"しん:on, おや:kun, した:kun"
"し";始;"Begin";kanji;"し:on, はじ:kun"
"しゅう";習;"Learn";kanji;"しゅう:on, なら:kun"
"お";起;"Wake Up";kanji;"お:kun, き:on"
"いん";院;"Institution";kanji;"いん:on"
"かい";開;"Open";kanji;"かい:on, あ:kun, ひら:kun"
"しゅう";集;"Collect";kanji;"しゅう:on, あつ:kun"
"の";飲;"Drink";kanji;"の:kun, いん:on"
"ぎょう";業;"Business";kanji;"ぎょう:on"
"かん";漢;"Chinese";kanji;"かん:on"
"か";歌;"Song";kanji;"か:on, うた:kun"
"びょう";病;"Sick";kanji;"びょう:on, や:kun, やまい:kun"
"よう";洋;"Western Style";kanji;"よう:on"
"み";味;"Flavor";kanji;"み:on, あじ:kun"
"い";意;"Idea";kanji;"い:on"
"べつ";別;"Separate";kanji;"べつ:on, わか:kun"
"ちゅう";注;"Pour";kanji;"ちゅう:on, そそ:kun, さ:kun, つ:kun"
"とく";特;"Special";kanji;"とく:on"
"りょ";旅;"Trip";kanji;"りょ:on, たび:kun"
"ちゃく";着;"Wear";kanji;"ちゃく:on, き:kun, つ:kun"
"たい";待;"Wait";kanji;"たい:on, ま:kun"
"べん";勉;"Exertion";kanji;"べん:on"
"いん";員;"Member";kanji;"いん:on"
"どう";動;"Move";kanji;"どう:on, うご:kun"
"あく";悪;"Bad";kanji;"あく:on, お:on, わる:kun"
"ぞく";族;"Tribe";kanji;"ぞく:on"
"や";野;"Field";kanji;"や:on, の:kun"
"もん";問;"Problem";kanji;"もん:on, と:kun, とん:kun"
"ぎん";銀;"Silver";kanji;"ぎん:on"
"だい";題;"Topic";kanji;"だい:on"
"かん";館;"Public Building";kanji;"かん:on"
"えき";駅;"Station";kanji;"えき:on"
"りょう";料;"Fee";kanji;"りょう:on"
"えい";映;"Reflect";kanji;"えい:on, うつ:kun, は:kun"
"かえ";帰;"Return";kanji;"かえ:kun, き:on"
"はる";春;"Spring";kanji;"はる:kun, しゅん:on"
"ひる";昼;"Noon";kanji;"ひる:kun, ちゅう:on"
"あき";秋;"Autumn";kanji;"あき:kun"
"けい";計;"Measure";kanji;"けい:on, はか:kun"
"けん";建;"Build";kanji;"けん:on, た:kun"
"えい";英;"England";kanji;"えい:on"
"はん";飯;"Meal";kanji;"はん:on, めし:kun"
"よう";曜;"Weekday";kanji;"よう:on"
"ひん";品;"Product";kanji;"ひん:on, しな:kun"
"きゅう";急;"Hurry";kanji;"きゅう:on, いそ:kun"
"しん";真;"Reality";kanji;"しん:on, ま:kun"
"どう";堂;"Hall";kanji;"どう:on"
"しゃく";借;"Borrow";kanji;"しゃく:on, か:kun"
"しつ";質;"Quality";kanji;"しつ:on, しち:on"
"か";貸;"Lend";kanji;"か:kun, たい:on"
