ふつか	二日	二: 500, 日: 500, 二: 500
にだい	二台	二: 500, 台: 500, 二: 500
にひゃく	二百	二: 500, 百: 500, 二: 500
はつか	二十日	二: 500, 十: 500, 日: 500, 二: 500
よんじゅうに	四十二	四: 500, 十: 500, 二: 500, 四: 500
にじはん	二時半	二: 500, 時: 500, 半: 500, 二: 500
にきん	二斤	二: 500, 斤: None, 二: 500
にばん	二番	二: 500, 番: 500, 二: 500
にじゅう	二重	二: 500, 重: 500, 二: 500
ごがつ	五月	五: 500, 月: 500, 五: 500
いつか	五日	五: 500, 日: 500, 五: 500
ごじゅう	五十	五: 500, 十: 500, 五: 500
いつつ	五つ	五: 500, 五: 500
ご	五	五: 500, 五: 500
ごだい	五台	五: 500, 台: 500, 五: 500
ごひゃく	五百	五: 500, 百: 500, 五: 500
まぜる	交ぜる	交: 500, 交: 500
がいこう	外交	外: 500, 交: 500, 外: 500
こうつう	交通	交: 500, 通: 500, 交: 500
こうばん	交番	交: 500, 番: 500, 交: 500
まじる	交じる	交: 500, 交: 500
まじわる	交わる	交: 500, 交: 500
とうきょう	東京	東: 500, 京: 500, 東: 500
ひと	人	人: 500, 人: 500
おとな	大人	大: 500, 人: 500, 大: 500
じんこう	人口	人: 500, 口: 500, 人: 500
じんこう	人工	人: 500, 工: 500, 人: 500
はくじん	白人	白: 500, 人: 500, 白: 500
ひとびと	人々	人: 500, 人: 500
あめりかじん	アメリカ人	人: 500
ふらんすじん	フランス人	人: 500
ゆうじん	友人	友: 1000, 人: 500, 友: 1000
がいじん	外人	外: 500, 人: 500, 外: 500
じんせい	人生	人: 500, 生: 500, 人: 500
いぎりすじん	イギリス人	人: 500
にん	〜人	人: 500
おとなしい	大人しい	大: 500, 人: 500, 大: 500
おんなのひと	女の人	女: 500, 人: 500, 女: 500
めいじん	名人	名: 500, 人: 500, 名: 500
にんき	人気	人: 500, 気: 500, 人: 500
むらびと	村人	村: 500, 人: 500, 村: 500
たにん	他人	他: 1000, 人: 500, 他: 1000
なんにん	何人	何: 500, 人: 500, 何: 500
おとこのひと	男の人	男: 500, 人: 500, 男: 500
がいこくじん	外国人	外: 500, 国: 500, 人: 500, 外: 500
こくじん	黒人	黒: 1000, 人: 500, 黒: 1000
にんぎょう	人形	人: 500, 形: 500, 人: 500
じゅうにん	住人	住: 500, 人: 500, 住: 500
やくにん	役人	役: 500, 人: 500, 役: 500
にんげん	人間	人: 500, 間: 500, 人: 500
にんずう	人数	人: 500, 数: 500, 人: 500
びじん	美人	美: 500, 人: 500, 美: 500
てつじん	鉄人	鉄: 1000, 人: 500, 鉄: 1000
びょうにん	病人	病: 500, 人: 500, 病: 500
