"とう";登;"とう:on, と:on, のぼ:kun"
"ごう";合;"ごう:on, がっ:on, あ:kun, あい:kun"
"ぎ";疑;"ぎ:on, うたが:kun"
"しゅく";宿;"しゅく:on, やど:kun"
"そう";想;"そう:on"
"かん";感;"かん:on"
"あん";暗;"あん:on, くら:kun, くれ:kun"
"さま";様;"さま:kun, よう:on"
"ふく";福;"ふく:on"
"さつ";殺;"さつ:on, ころ:kun"
"ぜん";然;"ぜん:on, ねん:on, しか:kun, さ:kun"
"ねつ";熱;"ねつ:on, あつ:kun"
"せん";選;"せん:on, えら:kun"
"がん";願;"がん:on, ねが:kun, ねがい:kun"
"じょう";情;"じょう:on, なさけ:kun"
"みな";皆;"みな:kun, みんな:kun, かい:on"
"やく";約;"やく:on"
"ざん";残;"ざん:on, のこ:kun"
"かく";格;"かく:on"
"のう";能;"のう:on"
"ねん";念;"ねん:on"
"せつ";折;"せつ:on, お:kun"
"ぼう";望;"ぼう:on, のぞ:kun"
"そく";束;"そく:on, たば:kun"
"じゅつ";術;"じゅつ:on"
"せい";性;"せい:on, しょう:on"
"れい";例;"れい:on, たと:kun"
"さん";参;"さん:on, しん:on, まい:kun"
"かん";完;"かん:on"
"は";晴;"は:kun, せい:on"
"れつ";列;"れつ:on"
"しき";式;"しき:on"
"しん";信;"しん:on"
"たん";単;"たん:on"
"へん";変;"へん:on, か:kun"
"ふう";夫;"ふう:on, ふ:on, おっと:kun"
"さく";昨;"さく:on"
"ほう";法;"ほう:on"
"ばん";晩;"ばん:on"
"ねこ";猫;"ねこ:kun"
"えん";園;"えん:on, その:kun"
"えん";遠;"えん:on, とお:kun"
"けい";係;"けい:on, かか:kun, かかり:kun"
"しゅ";取;"しゅ:on, と:kun"
"す";守;"す:on, しゅ:on, まも:kun, もり:kun"
"こう";幸;"こう:on, しあわ:kun, さいわ:kun, さち:kun"
"はこ";箱;"はこ:kun"
"めん";面;"めん:on, おも:kun, おもて:kun"
"じ";治;"じ:on, ち:on, なお:kun"
"わら";笑;"わら:kun, え:kun, しょう:on"
"じ";辞;"じ:on, や:kun"
"かん";関;"かん:on, かか:kun, せき:kun"
"せい";政;"せい:on"
"る";留;"る:on, りゅう:on, と:kun"
"けん";険;"けん:on, けわ:kun"
"き";危;"き:on, あぶ:kun, あや:kun"
"そん";存;"そん:on, ぞん:on"
"ひ";悲;"ひ:on, かな:kun"
"き";喜;"き:on, よろこ:kun"
"げん";原;"げん:on, はら:kun"
"やく";薬;"やく:on, くすり:kun"
