はく	拍	はく:on, ひょう:on
ゆう	猶	ゆう:on, ゆ:on, なお:kun
さい	宰	さい:on
じゃく	寂	じゃく:on, せき:on, さび:kun, さみ:kun
ほう	縫	ほう:on, ぬ:kun
ご	呉	ご:on, くれ:kun, く:kun
ぼん	凡	ぼん:on, はん:on, おうよ:kun, およ:kun, すべ:kun
うやうや	恭	うやうや:kun, きょう:on
さく	錯	さく:on, しゃく:on
こく	穀	こく:on
りょう	陵	りょう:on, みささぎ:kun
へい	弊	へい:on
はく	舶	はく:on
きゅう	窮	きゅう:on, きょう:on, きわ:kun
えつ	悦	えつ:on, よろこ:kun
ばく	縛	ばく:on, しば:kun
かつ	轄	かつ:on, くさび:kun
げん	弦	げん:on, つる:kun
ちつ	窒	ちつ:on
こう	洪	こう:on
せつ	摂	せつ:on, しょう:on, おさ:kun, かね:kun, と:kun
ほう	飽	ほう:on, あ:kun
しん	紳	しん:on
よう	庸	よう:on
やす	靖	やす:kun, じょう:on, せい:on
か	嘉	か:on, よい:kun, よみ:kun
さく	搾	さく:on, しぼ:kun
ちょう	蝶	ちょう:on
ひ	碑	ひ:on, いしぶみ:kun
い	尉	い:on, じょう:on
りん	凛	りん:on, きびし:kun
しょう	匠	しょう:on, たくみ:kun
はる	遥	はる:kun, よう:on
ち	智	ち:on, とも:nan
しば	柴	しば:kun, さい:on, し:on
ぞく	賊	ぞく:on
こ	鼓	こ:on, つづみ:kun
せん	旋	せん:on
ちょう	腸	ちょう:on, はらわた:kun
そう	槽	そう:on, ふね:kun
ばつ	伐	ばつ:on, う:kun, き:kun, そむ:kun
つ	漬	つ:kun, し:on
つぼ	坪	つぼ:kun, へい:on
こん	紺	こん:on
ら	羅	ら:on, うすもの:kun
きょう	峡	きょう:on, こう:on, はざま:kun
ほう	俸	ほう:on
じょう	醸	じょう:on, かも:kun
ちょう	弔	ちょう:on, とぶら:kun, とむら:kun
おつ	乙	おつ:on, いつ:on, おと:kun, きのと:kun
へん	遍	へん:on, あまね:kun
こう	衡	こう:on
かん	款	かん:on
えつ	閲	えつ:on, けみ:kun
かつ	喝	かつ:on
かん	敢	かん:on, あ:kun
まく	膜	まく:on
もう	盲	もう:on, めくら:kun
たい	胎	たい:on
こう	酵	こう:on
だ	堕	だ:on, お:kun, くず:kun
しゃ	遮	しゃ:on, さえぎ:kun
からす	烏	からす:kun, うお:on
とつ	凸	とつ:on, でこ:kun
おう	凹	おう:on, くぼ:kun, へこ:kun, ぼこ:kun
かえで	楓	かえで:kun, ふう:on
や	哉	や:kun, さい:on, かな:kun
そう	蒼	そう:on, あお:kun
る	瑠	る:on, りゅう:on
ほう	萌	ほう:on, きざ:kun, めばえ:kun, も:kun
りゅう	硫	りゅう:on
しゃ	赦	しゃ:on
せつ	窃	せつ:on, ぬす:kun, ひそ:kun
がい	慨	がい:on
ふ	扶	ふ:on, たす:kun
ぎ	戯	ぎ:on, げ:on, ざ:kun, じゃ:kun, たわむ:kun
だく	濁	だく:on, じょく:on, にご:kun
ほん	奔	ほん:on, はし:kun
しょう	肖	しょう:on, あやか:kun
きゅう	朽	きゅう:on, く:kun
かく	殻	かく:on, こく:on, ばい:on, から:kun, がら:kun
きょう	享	きょう:on, こう:on, う:kun
はん	藩	はん:on
ばい	媒	ばい:on, なこうど:kun
けい	鶏	けい:on, とり:kun, にわとり:kun
しょく	嘱	しょく:on, しょく:kun, たの:kun
てつ	迭	てつ:on
つい	椎	つい:on, すい:on, う:kun, つち:kun
けん	絹	けん:on, きぬ:kun
ばい	陪	ばい:on
ぼう	剖	ぼう:on
ふ	譜	ふ:on
しゅく	淑	しゅく:on, しと:kun
はん	帆	はん:on, ほ:kun
ふん	憤	ふん:on, いきどお:kun
しゃく	酌	しゃく:on, く:kun
あかつき	暁	あかつき:kun, さと:kun, きょう:on, ぎょう:on
けつ	傑	けつ:on, すぐ:kun
じょう	錠	じょう:on
しの	凌	しの:kun, りょう:on
みず	瑞	みず:kun, しるし:kun, すい:on, ずい:on
すが	菅	すが:nan, かん:on, けん:on, すげ:kun
れん	漣	れん:on, らん:on, さざなみ:kun
り	璃	り:on
き	忌	き:on, い:kun
せん	遷	せん:on, うつ:kun, みやこがえ:kun
せつ	拙	せつ:on, つたな:kun
とうげ	峠	とうげ:kun
とく	篤	とく:on, あつ:kun
お	叔	お:nan, しゅく:on
めす	雌	めす:kun, め:kun, めん:kun, し:on
こら	堪	こら:kun, こた:kun, た:kun, かん:on, たん:on
ぎん	吟	ぎん:on
じん	甚	じん:on, はなは:kun
すう	崇	すう:on, あが:kun
しつ	漆	しつ:on, うるし:kun
みさき	岬	みさき:kun, こう:on
ぼう	紡	ぼう:on, つむ:kun
しょう	礁	しょう:on
とん	屯	とん:on
いん	姻	いん:on
ぎ	擬	ぎ:on, まが:kun, もど:kun
ぼく	睦	ぼく:on, もく:on, むつ:kun
かん	閑	かん:on
そう	曹	そう:on, ぞう:on, つかさ:kun, ともがら:kun, へや:kun
えい	詠	えい:on, よ:kun, うた:kun
ひ	卑	ひ:on, いや:kun
ぶ	侮	ぶ:on, あなず:kun, あなど:kun
ちゅう	鋳	ちゅう:on, い:kun
べつ	蔑	べつ:on, さげす:kun
たん	胆	たん:on, きも:kun
ろう	浪	ろう:on
か	禍	か:on, わざわい:kun
らく	酪	らく:on
あこが	憧	あこが:kun, しょう:on, とう:on, どう:on
けい	慶	けい:on, よろこ:kun
あ	亜	あ:on, つ:kun
た	汰	た:on, たい:on, おご:kun, にご:kun, よな:kun
あずさ	梓	あずさ:kun, し:on
さ	沙	さ:on, しゃ:on, すな:kun, よなげる:kun
せい	逝	せい:on, い:kun, ゆ:kun
とく	匿	とく:on, かくま:kun
か	寡	か:on
り	痢	り:on
こう	坑	こう:on
あい	藍	あい:kun, らん:on
はん	畔	はん:on, あぜ:kun, くろ:kun, ほとり:kun
うた	唄	うた:kun, ばい:on
ごう	拷	ごう:on
けい	渓	けい:on, たに:kun, たにがわ:kun
れん	廉	れん:on
きん	謹	きん:on, つつし:kun
ゆう	湧	ゆう:on, ゆ:on, よう:on, わ:kun
しゅう	醜	しゅう:on, しこ:kun, みにく:kun
ます	升	ます:kun, しょう:on
じゅん	殉	じゅん:on
はん	煩	はん:on, ぼん:on, うるさ:kun, わずら:kun
がい	劾	がい:on
さん	桟	さん:on, せん:on, かけはし:kun
むこ	婿	むこ:kun, せい:on
ぼ	慕	ぼ:on, した:kun
ひ	罷	ひ:on, や:kun
きょう	矯	きょう:on, た:kun
ぼう	某	ぼう:on, それがし:kun, なにがし:kun
しゅう	囚	しゅう:on, とら:kun
ひ	泌	ひ:on, ひつ:on
ようや	漸	ようや:kun, やや:kun, ぜん:on
そう	藻	そう:on, も:kun
もう	妄	もう:on, ぼう:on, みだ:kun
ばん	蛮	ばん:on, えびす:kun
けん	倹	けん:on, つづまやか:kun, つま:kun
きつね	狐	きつね:kun, こ:on
