"こう";工;"こう:on, く:on"
"とう";刀;"とう:on, かたな:kun"
"まる";丸;"まる:kun, がん:on"
"さい";才;"さい:on"
"ご";午;"ご:on"
"しょう";少;"しょう:on, すこ:kun, すく:kun"
"ぎゅう";牛;"ぎゅう:on, うし:kun"
"はん";半;"はん:on, なか:kun"
"こん";今;"こん:on, いま:kun"
"せつ";切;"せつ:on, き:kun"
"ひ";引;"ひ:kun, いん:on"
"し";止;"し:on, と:kun, や:kun"
"こ";古;"こ:on, ふる:kun"
"がい";外;"がい:on, そと:kun, はず:kun"
"や";矢;"や:kun, し:on"
"まん";万;"まん:on, ばん:on"
"げん";元;"げん:on, がん:on, もと:kun"
"こう";公;"こう:on"
"ない";内;"ない:on, うち:kun"
"ぶん";分;"ぶん:on, ふん:on, ぶ:on, わ:kun"
"ゆう";友;"ゆう:on, とも:kun"
"たい";太;"たい:on, た:on, ふと:kun, おお:nan"
"しん";心;"しん:on, こころ:kun"
"と";戸;"と:kun, こ:on"
"ほう";方;"ほう:on, かた:kun"
"ちち";父;"ちち:kun, とう:kun, ふ:on"
"もう";毛;"もう:on, け:kun"
"ふゆ";冬;"ふゆ:kun, とう:on"
"ほく";北;"ほく:on, きた:kun"
"だい";台;"だい:on, たい:on"
"し";市;"し:on, いち:kun"
"ひろ";広;"ひろ:kun, こう:on"
"はは";母;"はは:kun, かあ:kun, ぼ:on"
"よう";用;"よう:on, もち:kun"
"こう";考;"こう:on, かんが:kun"
"かく";角;"かく:on, かど:kun, つの:kun"
"げん";言;"げん:on, ごん:on, い:kun, こと:kun"
"むぎ";麦;"むぎ:kun, ばく:on"
"かい";会;"かい:on, あ:kun"
"こう";光;"こう:on, ひかり:kun, ひか:kun"
"どう";同;"どう:on, おな:kun"
"かい";回;"かい:on, まわ:kun"
"た";多;"た:on, おお:kun"
"とう";当;"とう:on, あ:kun"
"まい";毎;"まい:on, ごと:kun"
"じ";自;"じ:on, し:on"
"こう";行;"こう:on, ぎょう:on, い:kun, おこな:kun, ゆ:kun"
"たい";体;"たい:on, からだ:kun"
"さく";作;"さく:on, さ:on, つく:kun"
"こえ";声;"こえ:kun, せい:on"
"けい";形;"けい:on, ぎょう:on, かた:kun, かたち:kun"
"らい";来;"らい:on, く:kun"
"しゃ";社;"しゃ:on, やしろ:kun"
"そう";走;"そう:on, はし:kun"
"さと";里;"さと:kun, り:on"
"きょう";兄;"きょう:on, あに:kun, にい:kun"
"こう";交;"こう:on, まじ:kun, ま:kun, か:kun"
"べい";米;"べい:on, まい:on, こめ:kun"
"はね";羽;"はね:kun, は:kun, わ:kun, う:on"
"にく";肉;"にく:on"
"いろ";色;"いろ:kun, しき:on, しょく:on"
"せい";西;"せい:on, さい:on, にし:kun"
"なに";何;"なに:kun, なん:kun, か:on"
"ず";図;"ず:on, と:on, え:kun, はか:kun"
"だい";弟;"だい:on, で:on, てい:on, おとうと:kun"
"たに";谷;"たに:kun, こく:on, せ:nan"
"きん";近;"きん:on, こん:on, ちか:kun"
"が";画;"が:on, かく:on"
"ち";知;"ち:on, し:kun"
"ち";地;"ち:on, じ:on"
"きょう";京;"きょう:on, みやこ:kun"
"こく";国;"こく:on, くに:kun"
"や";夜;"や:on, よ:kun, よる:kun"
"まい";妹;"まい:on, いもうと:kun"
"し";姉;"し:on, お:kun, あね:kun, ねえ:kun"
"てん";店;"てん:on, みせ:kun"
"めい";明;"めい:on, あ:kun, あか:kun, あき:kun"
"とう";東;"とう:on, ひがし:kun"
"ほ";歩;"ほ:on, ある:kun, あゆ:kun"
"ちょく";直;"ちょく:on, じき:on, なお:kun"
"ちょう";長;"ちょう:on, なが:kun, は:nan"
"ぜん";前;"ぜん:on, まえ:kun"
"なん";南;"なん:on, みなみ:kun"
"しつ";室;"しつ:on"
"ご";後;"ご:on, こう:on, うし:kun, あと:kun, のち:kun"
"し";思;"し:on, おも:kun"
"せい";星;"せい:on, ほし:kun"
