"てき",敵,"Enemy",kanji,"てき:on, かな:kun, かたき:kun"
"さい",済,"Come To An End",kanji,"さい:on, す:kun"
"い",委,"Committee",kanji,"い:on, ゆだ:kun"
"きょ",挙,"Raise",kanji,"きょ:on, あ:kun"
"はん",判,"Judge",kanji,"はん:on"
"せい",制,"Control",kanji,"せい:on"
"む",務,"Task",kanji,"む:on, つと:kun"
"さ",査,"Inspect",kanji,"さ:on"
"そう",総,"Whole",kanji,"そう:on"
"せつ",設,"Establish",kanji,"せつ:on, もう:kun"
"し",資,"Resources",kanji,"し:on"
"けん",権,"Rights",kanji,"けん:on"
"けん",件,"Matter",kanji,"けん:on"
"は",派,"Sect",kanji,"は:on"
"おか",岡,"Hill",kanji,"おか:kun"
"そ",素,"Element",kanji,"そ:on, す:on"
"だん",断,"Cut Off",kanji,"だん:on, ことわ:kun, た:kun"
"ひょう",評,"Evaluate",kanji,"ひょう:on"
"ひ",批,"Criticism",kanji,"ひ:on"
"にん",任,"Duty",kanji,"にん:on, まか:kun"
"けん",検,"Examine",kanji,"けん:on"
"しん",審,"Judge",kanji,"しん:on"
"じょう",条,"Clause",kanji,"じょう:on"
"せき",責,"Blame",kanji,"せき:on, せ:kun"
"しょう",省,"Conserve",kanji,"しょう:on, せい:on, はぶ:kun"
"ぞう",増,"Increase",kanji,"ぞう:on, ふ:kun, ま:kun"
"ぜい",税,"Tax",kanji,"ぜい:on"
"かい",解,"Untie",kanji,"かい:on, と:kun"
"さい",際,"Occasion",kanji,"さい:on, きわ:kun"
"にん",認,"Recognize",kanji,"にん:on, みと:kun"
"き",企,"Plan",kanji,"き:on, くわだ:kun"
"ぎ",義,"Righteousness",kanji,"ぎ:on"
"せん",羨,"Envy",kanji,"せん:on, うらや:kun"
"ばつ",罰,"Penalty",kanji,"ばつ:on"
"たん",誕,"Birth",kanji,"たん:on"
"だつ",脱,"Undress",kanji,"だつ:on, ぬ:kun"
"か",過,"Surpass",kanji,"か:on, す:kun, あやま:kun"
"ぼう",坊,"Monk",kanji,"ぼう:on"
"ね",寝,"Lie Down",kanji,"ね:kun, しん:on"
"みや",宮,"Shinto Shrine",kanji,"みや:kun, きゅう:on"
"かく",各,"Each",kanji,"かく:on, おの:kun"
"あん",案,"Plan",kanji,"あん:on"
"ち",置,"Put",kanji,"ち:on, お:kun"
"ひ",費,"Expense",kanji,"ひ:on, つい:kun"
"か",価,"Value",kanji,"か:on, あたい:kun"
"せい",勢,"Force",kanji,"せい:on, せ:on, いきお:kun"
"えい",営,"Manage",kanji,"えい:on, いとな:kun"
"じ",示,"Indicate",kanji,"じ:on, し:on, しめ:kun"
"とう",統,"Unite",kanji,"とう:on, す:kun"
"りょう",領,"Territory",kanji,"りょう:on"
"さく",策,"Plan",kanji,"さく:on"
"ふじ",藤,"Wisteria",kanji,"ふじ:kun, とう:on, どう:on"
"ふく",副,"Vice",kanji,"ふく:on"
"かん",観,"View",kanji,"かん:on, み:kun"
"ち",値,"Value",kanji,"ち:on, ね:kun, あたい:kun"
"きゅう",吸,"Suck",kanji,"きゅう:on, す:kun"
"いき",域,"Region",kanji,"いき:on"
"し",姿,"Figure",kanji,"し:on, すがた:kun"
"おう",応,"Respond",kanji,"おう:on"
"てい",提,"Present",kanji,"てい:on"
"えん",援,"Aid",kanji,"えん:on"
"じょう",状,"Condition",kanji,"じょう:on"
"たい",態,"Appearance",kanji,"たい:on, わざ:kun"
"が",賀,"Congratulations",kanji,"が:on"
"てい",諦,"Give Up",kanji,"てい:on, あきら:kun"
"しゅう",袖,"Sleeve",kanji,"しゅう:on, そで:kun"
"しゅう",収,"Obtain",kanji,"しゅう:on, おさ:kun"
"てい",停,"Halt",kanji,"てい:on"
"かく",革,"Leather",kanji,"かく:on, かわ:kun"
"しょく",職,"Employment",kanji,"しょく:on"
"き",鬼,"Demon",kanji,"き:on, おに:kun"
"き",規,"Standard",kanji,"き:on"
"ご",護,"Defend",kanji,"ご:on"
"わり",割,"Divide",kanji,"わり:kun, わ:kun, かつ:on"
"さい",裁,"Judge",kanji,"さい:on, さば:kun, た:kun"
"さき",崎,"Cape",kanji,"さき:kun, き:on"
"えん",演,"Perform",kanji,"えん:on"
"りつ",律,"Law",kanji,"りつ:on"
"し",師,"Teacher",kanji,"し:on"
"かん",看,"Watch Over",kanji,"かん:on"
"じゅん",準,"Standard",kanji,"じゅん:on"
"そく",則,"Rule",kanji,"そく:on, のっと:kun"
"び",備,"Provide",kanji,"び:on, そな:kun"
"どう",導,"Lead",kanji,"どう:on, みちび:kun"
"かん",幹,"Tree Trunk",kanji,"かん:on, みき:kun"
"ちょう",張,"Stretch",kanji,"ちょう:on, は:kun"
"ゆう",優,"Superior",kanji,"ゆう:on, やさ:kun, すぐ:kun"
"たく",宅,"House",kanji,"たく:on"
"たく",沢,"Swamp",kanji,"たく:on, さわ:kun"
"ぜい",贅,"Luxury",kanji,"ぜい:on, いぼ:kun"
"し",施,"Carry Out",kanji,"し:on, せ:on, ほどこ:kun"
"げん",現,"Present Time",kanji,"げん:on, あらわ:kun"
"にゅう",乳,"Milk",kanji,"にゅう:on, ちち:kun"
"よ",呼,"Call",kanji,"よ:kun, こ:on"
"しろ",城,"Castle",kanji,"しろ:kun, じょう:on"
"はい",俳,"Haiku",kanji,"はい:on"
"しゅう",秀,"Excel",kanji,"しゅう:on, ひい:kun"
"たん",担,"Carry",kanji,"たん:on, にな:kun, かつ:kun"
"がく",額,"Amount",kanji,"がく:on, ひたい:kun"
"せい",製,"Manufacture",kanji,"せい:on"
"ちが",違,"Different",kanji,"ちが:kun, い:on"
"ゆ",輸,"Transport",kanji,"ゆ:on"
"ねん",燃,"Burn",kanji,"ねん:on, も:kun"
"しゅく",祝,"Celebrate",kanji,"しゅく:on, しゅう:on, いわ:kun"
"とど",届,"Deliver",kanji,"とど:kun"
"せま",狭,"Narrow",kanji,"せま:kun, せば:kun, きょう:on"
"かた",肩,"Shoulder",kanji,"かた:kun, けん:on"
"うで",腕,"Arm",kanji,"うで:kun, わん:on"
"こし",腰,"Waist",kanji,"こし:kun, よう:on"
"しょく",触,"Touch",kanji,"しょく:on, さわ:kun, ふ:kun"
"さい",載,"Publish",kanji,"さい:on, の:kun"
"そう",層,"Layer",kanji,"そう:on"
"けい",型,"Model",kanji,"けい:on, かた:kun"
"ちょう",庁,"Agency",kanji,"ちょう:on"
"し",視,"Look At",kanji,"し:on, み:kun"
"さ",差,"Distinction",kanji,"さ:on, さ:kun"
"かん",管,"Pipe",kanji,"かん:on, くだ:kun"
"ぞう",象,"Elephant",kanji,"ぞう:on, しょう:on"
"りょう",量,"Quantity",kanji,"りょう:on, はか:kun"
"きょう",境,"Boundary",kanji,"きょう:on, さかい:kun"
"かん",環,"Loop",kanji,"かん:on"
"ぶ",武,"Military",kanji,"ぶ:on, む:on, たけ:kun"
"しつ",質,"Quality",kanji,"しつ:on, しち:on"
"じゅつ",述,"Mention",kanji,"じゅつ:on, の:kun"
"きょう",供,"Servant",kanji,"きょう:on, とも:kun, そな:kun"
"てん",展,"Expand",kanji,"てん:on, のぶ:kun, のび:kun"
"はん",販,"Sell",kanji,"はん:on"
"かぶ",株,"Stocks",kanji,"かぶ:kun, しゅ:on"
"げん",限,"Limit",kanji,"げん:on, かぎ:kun"
"よ",与,"Give",kanji,"よ:on, あた:kun"
"がん",含,"Include",kanji,"がん:on, ふく:kun"
"えい",影,"Shadow",kanji,"えい:on, かげ:kun"
"きょう",況,"Condition",kanji,"きょう:on"
"わた",渡,"Transit",kanji,"わた:kun, と:on"
"きょう",響,"Echo",kanji,"きょう:on, ひび:kun"
"ひょう",票,"Ballot",kanji,"ひょう:on"
"けい",景,"Scene",kanji,"けい:on"
"ぬ",抜,"Extract",kanji,"ぬ:kun, ばつ:on, はつ:on, はい:on"
"そ",訴,"Sue",kanji,"そ:on, うった:kun"
"しょう",訟,"Lawsuit",kanji,"しょう:on"
"たい",逮,"Apprehend",kanji,"たい:on"
"ほ",補,"Supplement",kanji,"ほ:on, おぎな:kun"
"こう",候,"Climate",kanji,"こう:on"
"こう",構,"Set Up",kanji,"こう:on, かま:kun"
"も",模,"Imitation",kanji,"も:on, ぼ:on"
"ほ",捕,"Catch",kanji,"ほ:on, つか:kun, とら:kun"
"せん",鮮,"Fresh",kanji,"せん:on, あざ:kun"
"こう",効,"Effective",kanji,"こう:on, き:kun"
"ぞく",属,"Belong",kanji,"ぞく:on"
"かん",慣,"Accustomed",kanji,"かん:on, な:kun"
"ほう",豊,"Plentiful",kanji,"ほう:on, ゆた:kun"
"まん",満,"Full",kanji,"まん:on, み:kun"
"ひ",肥,"Obese",kanji,"ひ:on, こ:kun, こえ:kun"
"かん",巻,"Scroll",kanji,"かん:on, ま:kun"
"そう",捜,"Search",kanji,"そう:on, さが:kun"
"こう",絞,"Strangle",kanji,"こう:on, し:kun, しぼ:kun"
"はい",輩,"Comrade",kanji,"はい:on"
"いん",隠,"Hide",kanji,"いん:on, かく:kun"
"か",掛,"Hang",kanji,"か:kun, かい:on, けい:on"
"か",替,"Replace",kanji,"か:kun, たい:on"
"きょ",居,"Alive",kanji,"きょ:on, い:kun"
"とら",捉,"Catch",kanji,"とら:kun, そく:on"
