えん	園	Garden	kanji	えん:on, その:kun
よう	曜	Weekday	kanji	よう:on
しょ	書	Write	kanji	しょ:on, か:kun
えん	遠	Far	kanji	えん:on, とお:kun
もん	門	Gates	kanji	もん:on
けい	係	Connection	kanji	けい:on, かか:kun, かかり:kun
しゅ	取	Take	kanji	しゅ:on, と:kun
ひん	品	Product	kanji	ひん:on, しな:kun
す	守	Protect	kanji	す:on, しゅ:on, まも:kun, もり:kun
こう	幸	Happiness	kanji	こう:on, しあわ:kun, さいわ:kun, さち:kun
きゅう	急	Hurry	kanji	きゅう:on, いそ:kun
しん	真	Reality	kanji	しん:on, ま:kun
はこ	箱	Box	kanji	はこ:kun
に	荷	Luggage	kanji	に:kun, か:on
めん	面	Face	kanji	めん:on, おも:kun, おもて:kun
てん	典	Rule	kanji	てん:on
ふ	府	Government	kanji	ふ:on
じ	治	Cure	kanji	じ:on, ち:on, なお:kun
よく	浴	Bathe	kanji	よく:on, あ:kun
わら	笑	Laugh	kanji	わら:kun, え:kun, しょう:on
じ	辞	Quit	kanji	じ:on, や:kun
かん	関	Related	kanji	かん:on, かか:kun, せき:kun
べん	弁	Dialect	kanji	べん:on
せい	政	Politics	kanji	せい:on
る	留	Detain	kanji	る:on, りゅう:on, と:kun
しょう	証	Evidence	kanji	しょう:on, あかし:kun
けん	険	Risky	kanji	けん:on, けわ:kun
き	危	Dangerous	kanji	き:on, あぶ:kun, あや:kun
そん	存	Exist	kanji	そん:on, ぞん:on
せん	専	Specialty	kanji	せん:on, もっぱ:kun
ぼう	冒	Dare	kanji	ぼう:on, おか:kun
じょう	冗	Superfluous	kanji	じょう:on
はん	阪	Heights	kanji	はん:on, さか:kun
ひ	悲	Sad	kanji	ひ:on, かな:kun
き	喜	Rejoice	kanji	き:on, よろこ:kun
げん	原	Original	kanji	げん:on, はら:kun
さい	細	Thin	kanji	さい:on, ほそ:kun, こま:kun
やく	薬	Medicine	kanji	やく:on, くすり:kun
はな	鼻	Nose	kanji	はな:kun, び:on
がわ	側	Side	kanji	がわ:kun, そば:kun, そく:on
へい	兵	Soldier	kanji	へい:on, ひょう:on
どう	堂	Hall	kanji	どう:on
しお	塩	Salt	kanji	しお:kun, えん:on
せき	席	Seat	kanji	せき:on
