"ぞう";造;"Create";kanji;"ぞう:on, つく:kun"
"じゅ";授;"Instruct";kanji;"じゅ:on, さず:kun"
"いん";印;"Seal";kanji;"いん:on, しるし:kun"
"そう";創;"Create";kanji;"そう:on"
"ふく";復;"Restore";kanji;"ふく:on"
"おう";往;"Depart";kanji;"おう:on"
"かく";較;"Contrast";kanji;"かく:on, こう:on"
"ひつ";筆;"Writing Brush";kanji;"ひつ:on, ふで:kun"
"えん";鉛;"Lead";kanji;"えん:on, なまり:kun"
"ちょ";貯;"Savings";kanji;"ちょ:on, たくわ:kun"
"こ";故;"Circumstance";kanji;"こ:on, ゆえ:kun"
"しょう";障;"Hinder";kanji;"しょう:on, さわ:kun"
"じゅう";従;"Obey";kanji;"じゅう:on, したが:kun"
"が";我;"I";kanji;"が:on, われ:kun, わ:kun"
"げき";激;"Fierce";kanji;"げき:on, はげ:kun"
"し";刺;"Stab";kanji;"し:on, さ:kun"
"れい";励;"Encourage";kanji;"れい:on, はげ:kun"
"とう";討;"Chastise";kanji;"とう:on"
"ゆう";郵;"Mail";kanji;"ゆう:on"
"しん";針;"Needle";kanji;"しん:on, はり:kun"
"ちょう";徴;"Indication";kanji;"ちょう:on"
"かい";怪;"Suspicious";kanji;"かい:on, け:on, あや:kun"
"じゅう";獣;"Beast";kanji;"じゅう:on, けもの:kun"
"とつ";突;"Stab";kanji;"とつ:on, つ:kun"
"か";菓;"Cake";kanji;"か:on"
"か";河;"River";kanji;"か:on, かわ:kun, こう:nan, こお:nan"
"しん";振;"Shake";kanji;"しん:on, ふ:kun"
"あせ";汗;"Sweat";kanji;"あせ:kun, かん:on"
"ぶた";豚;"Pork";kanji;"ぶた:kun, とん:on"
"さ";再;"Again";kanji;"さ:on, さい:on, ふたた:kun"
"せつ";接;"Adjoin";kanji;"せつ:on, つ:kun"
"どく";独;"Alone";kanji;"どく:on, ひと:kun"
"せん";占;"Fortune";kanji;"せん:on, うらな:kun, し:kun"
"しょう";招;"Beckon";kanji;"しょう:on, まね:kun"
"だん";段;"Steps";kanji;"だん:on"
"い";胃;"Stomach";kanji;"い:on"
"ふく";腹;"Belly";kanji;"ふく:on, はら:kun, なか:kun"
"つう";痛;"Pain";kanji;"つう:on, いた:kun"
"たい";退;"Retreat";kanji;"たい:on, しりぞ:kun, ひ:kun, ど:kun, の:kun"
"くつ";屈;"Yield";kanji;"くつ:on, かが:kun"
"なや";悩;"Worry";kanji;"なや:kun, のう:on"
"か";暇;"Spare Time";kanji;"か:on, ひま:kun, いとま:kun"
"しき";織;"Weave";kanji;"しき:on, しょく:on, お:kun"
"か";貸;"Lend";kanji;"か:kun, たい:on"
"めい";迷;"Astray";kanji;"めい:on, まよ:kun"
"わく";惑;"Misguided";kanji;"わく:on, まど:kun"
